# Technical English — Expert: Formal Methods, Networking & Data Engineering
# Format: Front[TAB]Back
# Part 3 of 5 (split from english_expert.txt): sections 23-25 - Formal Methods & Correctness, Advanced Networking & Protocols, Data Engineering & ML Ops Vocabulary.

# Section 23: Formal Methods & Correctness
# ============================================================

Formale Verifikation	formal verification
Modellprüfung / Model Checking	model checking — exhaustively verifies that a finite-state model satisfies a specification
Zustandsraum	state space
Zustandsexplosion	state space explosion
Temporale Logik	temporal logic
LTL (Lineare Temporale Logik)	LTL (Linear Temporal Logic)
CTL (Baumtemporale Logik)	CTL (Computation Tree Logic)
Unveränderliche Eigenschaft, die stets gelten muss	invariant
Vorbedingung	precondition
Nachbedingung	postcondition
Schleifeninvariante	loop invariant
Assertionsbeweis	assertion proof
Korrektheitsbeweis	correctness proof
Partielle Korrektheit	partial correctness
Totale Korrektheit	total correctness
Terminierung	termination
Verklemmungsfreiheit	deadlock freedom
Verhungerungsfreiheit	starvation freedom / livelock freedom
Lebendigkeit / Liveness	liveness (property)
Sicherheit / Safety (formale Eigenschaft)	safety (property)
TLA+ (Temporale Logik der Aktionen)	TLA+ (Temporal Logic of Actions)
Alloy (Modellierungssprache)	Alloy (modeling language)
Mathematische Spezifikationssprache für formale Software-Modellierung	Z notation
Hoare-Logik	Hoare logic — formal system for reasoning about program correctness using preconditions and postconditions
Hoare-Tripel	Hoare triple — {P} C {Q}: if precondition P holds and command C executes, postcondition Q holds
Spezifikationssprache	specification language
Vertrag / Design by Contract	design by contract
Vor- und Nachbedingungen (Vertrag)	preconditions and postconditions (contract)
Eigenschaftsbasiertes Testen	property-based testing — generates random inputs to verify that properties hold for all cases
Werkzeug zum automatischen Generieren von Testfällen aus Eigenschaften (Haskell)	QuickCheck
Automatisiertes Testen mit zufällig erzeugten Eingabedaten	fuzzing / fuzz testing
Symbolische Ausführung	symbolic execution — explores all paths using symbolic inputs to find bugs and verify properties
Abstrakte Interpretation	abstract interpretation — approximates program semantics to statically infer properties without running it
Statische Analyse	static analysis
Datenflussanalyse	data flow analysis
Kontrollflussanalyse	control flow analysis
Kontrollfluss-Graph (CFG)	CFG (Control Flow Graph)
Aufrufgraph	call graph
Abhängigkeitsgraph	dependency graph

# ============================================================

# Section 24: Advanced Networking & Protocols
# ============================================================

OSI-Modell (Schichtenmodell)	OSI model (Open Systems Interconnection)
Physikalische Schicht	physical layer (Layer 1)
Sicherungsschicht	data link layer (Layer 2)
Netzwerkschicht	network layer (Layer 3)
Transportschicht	transport layer (Layer 4)
Sitzungsschicht	session layer (Layer 5)
Darstellungsschicht	presentation layer (Layer 6)
Anwendungsschicht	application layer (Layer 7)
TCP-Dreiwege-Handshake	TCP three-way handshake (SYN, SYN-ACK, ACK)
TCP-Fenstergröße	TCP window size
TCP-Überlastkontrolle	TCP congestion control
Schneller Neuübertragung	fast retransmit
Selektive Bestätigung (SACK)	SACK (Selective Acknowledgment)
Nagle-Algorithmus	Nagle's algorithm
Dauerhafte Verbindungsprüfung zur Erkennung inaktiver TCP-Sitzungen	TCP keep-alive
Halb-offene Verbindung	half-open connection
FIN-Paket	FIN packet
RST-Paket	RST packet
Einzelnes, verbindungsloses Datenpaket im UDP-Protokoll	UDP datagram
