# Technical English — Intermediate: DevOps & APIs
# Format: Front[TAB]Back
# Part 3 of 4 (split from english_intermediate.txt): sections 11-12 - DevOps & CI/CD, APIs & Integration.

# Section 11: DevOps & CI/CD
# ============================================================

Kontinuierliche Integration	continuous integration (CI)
Kontinuierliche Auslieferung	continuous delivery (CD)
Kontinuierliche Bereitstellung	continuous deployment
Automatisierbare Schrittfolge von Build, Test und Deployment	build pipeline
Artefakt (Build-Ergebnis)	artifact
Staging-Umgebung	staging environment
Produktionsumgebung	production environment
Zurückrollen / Rollback	to roll back / rollback
Canary-Release / Schrittweise Einführung	canary release — rolling out a change to a small subset of users first to detect issues early
Blau-Grün-Bereitstellung	blue-green deployment — two identical environments; traffic switches from blue (old) to green (new) instantly
Feature-Flag / Feature-Schalter	feature flag / feature toggle — runtime switch to enable or disable features without redeploying
Vergleichstest zweier Varianten zur Ermittlung der besseren	A/B test
Gesundheitsprüfung / Health Check	health check
Container-Orchestrierung	container orchestration
Infrastruktur als Code	infrastructure as code (IaC)
Überwachung / Monitoring	monitoring
Alarmierung / Alerting	alerting
Protokollierung / Logging	logging
Verfügbarkeit	availability
Ausfallzeit / Downtime	downtime
Betriebszeit / Uptime	uptime
Bereitstellung / Deployment	deployment
Paketverwaltung / Paketierung	packaging
Konfigurationsmanagement	configuration management
Automatisierung	automation
Vorfallmanagement	incident management
Dienstgütevereinbarung	SLA (Service Level Agreement)
Betriebshandbuch / Runbook	runbook
Nachbesprechung / Post-Mortem	postmortem / post-incident review
Rollforward / Vorwärtskorrektur	roll forward
Unveränderliches Artefakt	immutable artifact
Build-Auslöser / Trigger	build trigger
Automatischer HTTP-Rückruf eines Servers bei einem Ereignis	webhook trigger
Parallele Pipeline	parallel pipeline
Pipeline-Stufe	pipeline stage
Pipeline-Schritt	pipeline step
Gated Build / Kontrollierter Build	gated build
Qualitätstor / Quality Gate	quality gate
Artefakt-Repository	artifact repository
Zentrales Verzeichnis zum Speichern und Verteilen von Container-Images	container registry
Image / Abbild (Container)	container image
Tag / Kennzeichnung (Image)	image tag
Werkzeug zum Definieren und Starten mehrerer Container als Verbund	Docker Compose
Orchestrierungsplattform für Container-Anwendungen	Kubernetes (K8s)
Kleinste Bereitstellungseinheit in Kubernetes	pod
Knoten / Node (Kubernetes)	node
Namespace (Kubernetes)	namespace
Kubernetes-Paketformat mit Templates und Abhängigkeiten	Helm chart
Deklaratives IaC-Werkzeug zur Infrastrukturdefinition (HashiCorp)	Terraform
Agentenloses Automatisierungswerkzeug für Konfigurationsmanagement	Ansible
Anweisungsdatei für automatisierte Konfigurationsschritte	playbook
Idempotente Konfiguration	idempotent configuration
Konfigurationsdrift	configuration drift
