# Technical English — Intermediate: Software Engineering & Databases
# Format: Front[TAB]Back
# Part 1 of 4 (split from english_intermediate.txt): sections 7-8 - Software Engineering Terms, Databases & Data Management.

# Section 7: Software Engineering Terms
# ============================================================

Softwarearchitektur	software architecture
Entwurfsmuster / Design Pattern	design pattern
Refactoring / Codeumstrukturierung	refactoring
Abstraktion	abstraction
Kapselung	encapsulation
Kopplung (zwischen Modulen)	coupling
Zusammenhalt / Kohäsion	cohesion
Trennung der Zuständigkeiten	separation of concerns
Einzelverantwortungsprinzip	single responsibility principle
Agile Softwareentwicklung	agile (software development)
Agiles Rahmenwerk mit Sprints, Rollen und Zeremonien	Scrum
Festgelegter Arbeitszeitraum (1–4 Wochen) in Scrum	sprint
Backlog / Aufgabenliste	backlog
User Story / Benutzergeschichte	user story
Akzeptanzkriterien	acceptance criteria
Code-Review / Code-Überprüfung	code review
Technische Schulden	technical debt
Wartbarkeit	maintainability
Skalierbarkeit	scalability
Sauberer Code / Clean Code	clean code
Interessenvertreter / Stakeholder	stakeholder
Anforderung	requirement
Umfang / Geltungsbereich	scope
Meilenstein	milestone
Frist / Termin	deadline
Liefergegenstand / Ergebnis	deliverable
Erster Entwurf eines Produkts zum Testen und Lernen	prototype
Machbarkeitsstudie	feasibility study
Machbarkeitsnachweis durch einen praktischen Prototyp	proof of concept (PoC)
Einfachste funktionsfähige Version eines Produkts	MVP (Minimum Viable Product)
Rückstand / Legacy-Code	legacy code
Ablaufdiagramm	flowchart
Anwendungsfall	use case
Beschränkung / Randbedingung	constraint
Abhängigkeitsinjektion	dependency injection — supplying an object’s dependencies from outside rather than creating them internally
Umkehrung der Steuerung	inversion of control (IoC) — framework calls your code instead of your code calling the framework
Entwurfsprinzip	design principle
Offen-Geschlossen-Prinzip	open-closed principle (OCP)
Liskovsches Substitutionsprinzip	Liskov substitution principle (LSP)
Schnittstellentrennungsprinzip	interface segregation principle (ISP)
SOLID-Prinzipien	SOLID principles
DRY-Prinzip (Wiederhole dich nicht)	DRY (Don't Repeat Yourself)
KISS-Prinzip (Halte es einfach)	KISS (Keep It Simple, Stupid)
