# Technical English — Master (DE → EN)
# Format: Front (Deutsch)	Back (English)

# ============================================================
# Section 27: Academic CS & Research Paper Vocabulary
# ============================================================

Wissenschaftliche Veröffentlichung	(research) paper / publication
Peer-Review / Fachbegutachtung	peer review
Vorabdruck / Preprint	preprint
Konferenzbeitrag	conference paper / proceedings paper
Zeitschriftenartikel	journal article
Zusammenfassung / Abstract	abstract
Verwandte Arbeiten	related work
Stand der Technik / Stand der Forschung	state of the art
Neuartig / Neuheitswert	novel / novelty
Beitrag (wissenschaftlich)	contribution
Hypothese	hypothesis
These / Behauptung	thesis / claim
Beweis	proof
Lemma / Hilfssatz	lemma
Satz / Theorem	theorem
Korollar / Folgesatz	corollary
Mathematische Schreibweise für Formeln und Ausdrücke	notation
Obere Schranke	upper bound
Untere Schranke	lower bound
Asymptotische Komplexität	asymptotic complexity
O-Notation / Landau-Notation	Big-O notation / asymptotic notation
Amortisierte Analyse	amortized analysis
Berechenbarkeit	computability
Entscheidbarkeit	decidability
Unentscheidbarkeit	undecidability
Halteproblem	halting problem
Turingmaschine	Turing machine
Nichtdeterminismus	nondeterminism
NP-Vollständigkeit	NP-completeness
NP-Schwere	NP-hardness
Reduktion (Komplexitätstheorie)	reduction (complexity theory)
Polynomialzeit	polynomial time
Exponentialzeit	exponential time
Approximationsalgorithmus	approximation algorithm
Approximationsverhältnis	approximation ratio
Heuristik	heuristic
Metaheuristik	metaheuristic
Randomisierter Algorithmus	randomized algorithm
Wahrscheinlichkeitsverteilung	probability distribution
Erwartungswert	expected value
Varianz	variance
Stichprobe	sample
Konfidenzintervall	confidence interval
Statistische Signifikanz	statistical significance
Reproduzierbarkeit (Forschung)	reproducibility (research)
Ablationsstudie	ablation study
Grundwahrheit / Ground Truth	ground truth
Benchmark-Datensatz	benchmark dataset
Experimenteller Aufbau	experimental setup
Auswertung / Evaluation	evaluation
Metrik (Bewertung)	metric (evaluation)
Grundlinie / Baseline	baseline
Vergleichsarbeit	comparative study
Empirische Studie	empirical study
Fallstudie	case study
Informelles technisches Dokument zu Produkten oder Methoden	white paper
Technischer Bericht	technical report
Quellenangabe / Zitat	citation / reference
Zitierindex	citation index
DOI (Digitaler Objektbezeichner)	DOI (Digital Object Identifier)
Vorabveröffentlichung	early access / preprint
Begutachtungsverfahren	review process
Blindbegutachtung	blind review / double-blind review

# ============================================================
# Section 28: Computational Complexity & Algorithm Design
# ============================================================

Zeitkomplexität	time complexity
Raumkomplexität / Platzkomplexität	space complexity
Bester Fall	best case
Schlechtester Fall	worst case
Durchschnittlicher Fall	average case
Teile-und-Herrsche	divide and conquer
Dynamische Programmierung	dynamic programming
Gierige Methode / Greedy-Algorithmus	greedy algorithm
Rückverfolgung / Backtracking	backtracking
