# Java Collections
# Format: Front[TAB]Back

[Beginner] What is the root interface of the Java collections framework?	`Collection<E>` (and `Map<K,V>` for key-value stores, which does not extend Collection).
[Beginner] What is the difference between `ArrayList` and `LinkedList`?	`ArrayList` uses a dynamic array (fast random access, slow insertions/deletions in the middle); `LinkedList` uses a doubly-linked list (fast insertions/deletions, slow random access).
[Beginner] What is the difference between `HashSet`, `LinkedHashSet`, and `TreeSet`?	`HashSet`: unordered, O(1) ops; `LinkedHashSet`: insertion-ordered, O(1) ops; `TreeSet`: sorted (natural/Comparator order), O(log n) ops.
[Beginner] What is the difference between `HashMap` and `TreeMap`?	`HashMap`: unordered, O(1) average; `TreeMap`: sorted by key, O(log n); both are not thread-safe.
[Beginner] What is `ConcurrentHashMap`?	A thread-safe `Map` implementation that allows concurrent reads and segmented writes without locking the entire map.
[Beginner] What does `Collections.unmodifiableList()` return?	A read-only view of the given list; any modification attempt throws `UnsupportedOperationException`.
[Beginner] What is the difference between `Iterator` and `ListIterator`?	`Iterator` is forward-only; `ListIterator` supports bidirectional traversal and element modification.
[Beginner] What is a `PriorityQueue` in Java?	An unbounded queue based on a min-heap; elements are ordered by natural ordering or a Comparator, with the smallest element at the head.
[Beginner] What is the difference between `List.of()` and `Arrays.asList()`?	`List.of()` returns an immutable list; `Arrays.asList()` returns a fixed-size list backed by the array (supports `set`, but not `add`/`remove`).
[Beginner] What is a `Deque`?	A double-ended queue that supports element insertion and removal at both ends. `ArrayDeque` is a common implementation.
[Beginner] What does the `Comparable` interface define?	A natural ordering for objects of a class via the `compareTo()` method.
[Beginner] What does the `Comparator` interface define?	An external ordering strategy for objects, passed to sorting methods or sorted collections, via the `compare()` method.
[Beginner] What is the time complexity of `HashMap.get()` on average?	O(1) average, O(n) worst case (all keys hash to the same bucket).

# === Internals & Modern API ===
[Intermediate] How does `HashMap` handle hash collisions in Java 8+?	Each bucket starts as a linked list. When a bin's size reaches `TREEIFY_THRESHOLD` (8) and the table has at least 64 buckets, the bin is converted to a red-black tree — O(log n) lookup instead of O(n). The tree is converted back to a linked list when size drops below `UNTREEIFY_THRESHOLD` (6). This mitigates hash DoS attacks and poor `hashCode()` implementations. Treeification requires keys to be `Comparable` (or falls back to identity hash). The default load factor is 0.75 — when `size > capacity × 0.75` the map rehashes into a 2× array.
[Intermediate] What is the contract between `equals()` and `hashCode()`?	If `a.equals(b)` is `true`, then `a.hashCode() == b.hashCode()` must be true. The reverse is NOT required — two unequal objects may have the same hash (a collision). Violating this contract breaks all hash-based collections (`HashMap`, `HashSet`, etc.) — objects won't be found after insertion. Best practices: always override `hashCode()` when overriding `equals()`. Use `Objects.hash(field1, field2)` or IDE-generated. `equals()` must be reflexive, symmetric, transitive, consistent, and `x.equals(null) == false`.
