# Technical English — Pro: Domain Vocabulary I (Java, Android, Security)
# Format: Front[TAB]Back
# Part 4 of 5 (split from english_pro.txt): sections 18a-18c - Java, Android & AAOS, and Security domain vocabulary.

# Section 18a: Java Domain Vocabulary
# ============================================================
Müllsammlung / Speicherbereinigung	garbage collection (GC)
Junge Generation (GC)	young generation
Alte Generation (GC)	old generation / tenured generation
Fluchtanalyse	escape analysis — JIT optimization determining if an object can be stack-allocated instead of heap-allocated
Falsches Sharing (CPU-Cache)	false sharing — performance degradation when unrelated data on the same cache line is modified by different cores
Just-In-Time-Kompilierung	JIT compilation
Gestufte Kompilierung	tiered compilation
Entoptimierung	deoptimization
Methoden-Einlagerung	method inlining
Typ-Löschung (Generics)	type erasure
Brückenmethode	bridge method
Heap-Verschmutzung	heap pollution
Kovarianter Rückgabetyp	covariant return type
Kontravarianz	contravariance
Invarianz	invariance
Virtuelle Fäden	virtual threads
Ankern (Virtual Threads)	pinning
Trägerfaden	carrier thread
Strukturierte Parallelität	structured concurrency — child tasks are scoped to a parent, ensuring all complete before the parent finishes
Bereichsbezogene Werte	scoped values
Vergleichen-und-Austauschen (CAS)	compare-and-swap (CAS)
Nebenläufigkeitsfalle: CAS erkennt A→B→A nicht als Änderung	ABA problem
Sperren-freier Algorithmus	lock-free algorithm
Warte-freier Algorithmus	wait-free algorithm
Datensatz (Java 16)	record
Versiegelte Klasse (Java 17)	sealed class
Mustererkennung (Java 21)	pattern matching
Annotationsverarbeitung	annotation processing
Programmatische Veränderung von kompiliertem Zwischencode zur Laufzeit	bytecode manipulation
Methodengriff	method handle
GraalVM-natives Abbild	GraalVM native image
Schwache Referenz	weak reference
Weiche Referenz	soft reference
Phantom-Referenz	phantom reference
Sicherer Punkt (GC)	safepoint
Thread-lokaler Zuweisungspuffer	TLAB (thread-local allocation buffer)
Happens-Before-Beziehung	happens-before relationship — guarantees one action’s effects are visible to another across threads
Speicherbarriere	memory barrier / memory fence
Klassenlader-Hierarchie	classloader hierarchy
Elterliche Delegation (ClassLoader)	parent delegation
Aspektorientierte Programmierung	aspect-oriented programming (AOP) — modularizes cross-cutting concerns (logging, security) into separate units
Schnittpunkt / Ratschlag (AOP)	pointcut / advice
Stapelabwicklung	stack unwinding
Geprüfte Ausnahme	checked exception
Ungeprüfte Ausnahme	unchecked exception
Versuchen-mit-Ressourcen	try-with-resources

# ============================================================

# Section 18b: Android & AAOS Domain Vocabulary
# ============================================================
Binder-Interprozess-Kommunikation	Binder IPC — Android’s high-performance IPC mechanism for cross-process method calls
Paketierbar (Android)	Parcelable
Inhaltsanbieter	content provider
Fragment-Lebenszyklus	fragment lifecycle
Fragment-Transaktion	fragment transaction
Rück-Stapel (Navigation)	back stack
Anwendung antwortet nicht	ANR (Application Not Responding) — dialog shown when the main thread is blocked for >5 seconds
Strenger Modus (Android)	StrictMode
Bildtakt-Synchronisation	frame pacing
Ruckeln (Leistung)	jank
GPU-Überzeichnung	GPU overdraw
Rendern-Faden	RenderThread
