# Android Fundamentals
# Format: Front[TAB]Back

What are the four main Android application components?	Activity, Service, BroadcastReceiver, ContentProvider
What is an Activity?	A single screen with a user interface. It manages the lifecycle of a UI component and interacts with the user.
What are the Activity lifecycle callbacks in order?	onCreate → onStart → onResume → onPause → onStop → onDestroy
What is `onSaveInstanceState()` used for?	To save transient UI state (e.g., scroll position, text) before the activity is stopped or destroyed, so it can be restored in `onCreate` or `onRestoreInstanceState`.
What is an Intent?	A messaging object used to request an action from another component. Can be explicit (target component specified) or implicit (action described, system resolves).
What is the AndroidManifest.xml?	The configuration file that declares app components, permissions, hardware requirements, and metadata to the Android system.
What is a Fragment?	A reusable portion of UI that has its own lifecycle and can be combined within an Activity. Enables modular and adaptive UI design.
What is the difference between `onCreate()` and `onStart()`?	`onCreate()` is called once when the activity is first created (initialize UI/data); `onStart()` is called each time the activity becomes visible to the user.
What is a Back Stack?	A stack managed by the system that tracks the order in which Activities or Fragments are opened, enabling back-navigation.
What is a PendingIntent?	A token that grants another app or the system the right to perform an operation on your app's behalf at a later time (used for notifications, alarms).
What is a Service?	An application component that performs long-running operations in the background without a UI. Types: foreground, background, bound.
What is a BroadcastReceiver?	A component that listens for system-wide or app-specific broadcast messages (e.g., BOOT_COMPLETED, battery low).
What is the Application class?	The base class for maintaining global application state. Its `onCreate()` is called before any other component in the process.
What is the difference between `startActivity()` and `startActivityForResult()`?	`startActivity()` starts another activity without expecting a result; `startActivityForResult()` starts it and receives a callback with a result code and data.
