# Technical English — Master: Quantum Computing, Category Theory & Leadership
# Format: Front[TAB]Back
# Part 3 of 4 (split from english_master.txt): sections 31-33 - Quantum Computing, Category Theory & Abstract Math for Programmers, Tech Leadership & Strategic Communication.

# Section 31: Quantum Computing
# ============================================================

Quantencomputer	quantum computer
Qubit (Quantenbit)	qubit (quantum bit)
Überlagerung mehrerer Quantenzustände gleichzeitig	superposition
Verschränkung / Quantenverschränkung	entanglement / quantum entanglement — correlated qubits whose states are linked regardless of distance
Quantengatter	quantum gate
Hadamard-Gatter	Hadamard gate
CNOT-Gatter (Kontrolliert-NICHT)	CNOT gate (Controlled-NOT)
Toffoli-Gatter	Toffoli gate
Pauli-Gatter (X, Y, Z)	Pauli gates (X, Y, Z)
Quantenschaltkreis	quantum circuit
Messung (Quantenmechanik)	measurement (quantum mechanics)
Dekohärenz	decoherence — loss of quantum state due to interaction with the environment
Quantenfehlerkorrektur	quantum error correction (QEC) — encodes logical qubits across multiple physical qubits to detect and fix errors
Logisches Qubit	logical qubit
Physikalisches Qubit	physical qubit
Quantenüberlegenheit / Quantum Supremacy	quantum supremacy / quantum advantage
Quantenvorteil	quantum advantage
Rauschintensiver Zwischen-Quantencomputer	NISQ (Noisy Intermediate-Scale Quantum)
Quantenalgorithmus zur effizienten Primfaktorzerlegung	Shor's algorithm
Quantenalgorithmus für beschleunigte Suche in unsortierten Daten	Grover's algorithm
Variationsquantenalgorithmus	VQE (Variational Quantum Eigensolver)
Quantenalgorithmus für kombinatorische Optimierungsprobleme	QAOA (Quantum Approximate Optimization Algorithm)
Quantenannealing	quantum annealing
Quantensimulation	quantum simulation
Quantenkryptographie	quantum cryptography
Quantenschlüsselverteilung (QKD)	QKD (Quantum Key Distribution)
BB84-Protokoll	BB84 protocol
Quantenteleportation	quantum teleportation
Quantenzustandstomographie	quantum state tomography
Bloch-Kugel	Bloch sphere
Quantenregister	quantum register
Quantenparallelismus	quantum parallelism
Quanteninterferenz	quantum interference
Orakel (Quantenalgorithmus)	oracle (quantum algorithm)
Quantencompiler	quantum compiler
Transpilation (Quantenschaltkreis)	transpilation (quantum circuit)
Konnektivitätsgraph (Qubit)	connectivity graph (qubit topology)
Gate-Treue / Gate Fidelity	gate fidelity
Kohärenzzeit	coherence time
T1-Zeit (Relaxationszeit)	T1 time (relaxation time)
T2-Zeit (Dephasierungszeit)	T2 time (dephasing time)

# ============================================================

# Section 32: Category Theory & Abstract Math for Programmers
# ============================================================

Kategorie	category
Objekt (Kategorientheorie)	object (category theory)
Morphismus / Pfeil	morphism / arrow
Komposition	composition
