# Technical English — Intermediate: Domain-Specific Vocabulary
# Format: Front[TAB]Back
# Part 4 of 4 (split from english_intermediate.txt): sections 12a-12d - Java, Android, Security, and C++ domain vocabulary.

# Section 12a: Java Domain Vocabulary
# ============================================================

Faden / Thread	thread
Fadenbecken / Thread-Pool	thread pool
Sperre (Java)	lock
Synchronisierungsmechanismus, der nur einen Thread gleichzeitig zulässt (Java)	monitor
Eingebaute Sperre	intrinsic lock / monitor lock
Gegenseitiger Ausschluss	mutual exclusion (mutex)
Flüchtig (volatile)	volatile
Synchronisierungspunkt, an dem mehrere Threads aufeinander warten	barrier
Falsches Aufwecken	spurious wake-up
Arbeitsentzug / Work-Stealing	work-stealing
Lastfaktor (HashMap)	load factor
Hashkollision	hash collision
Neuverteilung / Rehashing	rehashing
Fach / Bucket (HashMap)	bucket (HashMap)
Schnell-fehlschlagend (Iterator)	fail-fast (iterator)
Ausfallsicher (Iterator)	fail-safe (iterator)
Natürliche Ordnung	natural ordering
Einfügereihenfolge	insertion order
Zugriffsreihenfolge	access order
Baumwandlung (HashMap)	treeification
Unveränderliche Sammlung	immutable collection / unmodifiable collection
Gegendruck / Backpressure (Reactive)	backpressure
Lebenszyklus	lifecycle
Abhängigkeitsinjektion (Java)	dependency injection (DI)
Anmerkung / Annotation	annotation
Markierungsschnittstelle	marker interface
Generische Klasse	generic class
Typ-Löschung	type erasure — generic type info is removed at compile time; only raw types exist at runtime
Platzhaltertyp	wildcard type
Eingeschränkter Typ	bounded type
Ungeprüfte Typumwandlung	unchecked cast
Funktionale Schnittstelle	functional interface
Stream-Verarbeitung (Java)	stream processing (Java Streams)
Optionalwert / Optional	Optional (wrapper type)
Datensatzklasse / Record	record (class)
Versiegelte Klasse	sealed class
Mehrzeilige Zeichenkette ohne Escape-Zeichen (Java 13+)	text block
Lokale Variable Typinferenz	local variable type inference (var)
Modulsystem (Java)	module system (JPMS)
Klassenpfad	classpath
Modulpfad	module path

# ============================================================

# Section 12b: Android Domain Vocabulary
# ============================================================

Aktivität / Activity	Activity
Wiederverwendbarer UI-Baustein innerhalb einer Android-Activity	Fragment
Dienst / Service (Android)	Service (Android)
Inhaltsanbieter	Content Provider
Sendungsempfänger	Broadcast Receiver
Ansichtshierarchie	view hierarchy
Layoutdatei	layout file
Manifest-Datei	manifest file (AndroidManifest.xml)
Absicht / Intent	Intent
Explizite Absicht	explicit Intent
Implizite Absicht	implicit Intent
Zurück-Stapel	back stack
Aufgaben-Stapel	task stack
Startmodus (Activity)	launch mode
Konfigurationsänderung	configuration change
Zustandserhaltung	state preservation / state restoration
Neuzusammensetzung (Compose)	recomposition (Jetpack Compose)
Zustandsanhebung	state hoisting — moving state up to a parent composable so children become stateless and reusable
Datenbindung	data binding
Ansichtsmodell / ViewModel	ViewModel
Lebenszyklusbewusstes, beobachtbares Datenobjekt (Android Jetpack)	LiveData
Zustandsfluss / StateFlow	StateFlow
Bereichsbezogener Speicher	scoped storage
Berechtigungsmodell	permission model
Laufzeitberechtigung	runtime permission
Vordergrund-Dienst	foreground service
Arbeitsmanager / WorkManager	WorkManager
Benachrichtigungskanal	notification channel
Rand-zu-Rand-Darstellung	edge-to-edge (display)
Fenstereinschnitte	window insets
